category	Name	clinical_category	Remarks	doi
bacterium	Burkholderia pseudomallei	human_pathogen	melioidosis	10.1080/21505594.2022.2139063
bacterium	Brucella melitensis	human_pathogen	brucellosis	10.1080/07853890.2023.2295398
bacterium	Mycobacterium leprae	human_pathogen	leprosy	10.1080/21505594.2022.2141987
fungus	Candida tropicalis	human_pathogen	major invasive candidiasis species	10.3390/pathogens13050426
fungus	Candida parapsilosis	human_pathogen	major invasive candidiasis species	10.3390/pathogens13050426
fungus	Pichia kudriavzevii	human_pathogen	Candida krusei current name	10.3390/pathogens13050426
fungus	Cryptococcus gattii	human_pathogen	cryptococcosis	10.3390/pathogens13050426
fungus	Aspergillus flavus	human_pathogen	aspergillosis	10.3390/pathogens13050426
fungus	Aspergillus terreus	human_pathogen	aspergillosis	10.3390/pathogens13050426
fungus	Talaromyces marneffei	human_pathogen	talaromycosis	10.3390/pathogens13050426
protozoan	Plasmodium knowlesi	human_pathogen	zoonotic malaria	10.1093/cid/cir180
protozoan	Cyclospora cayetanensis	human_pathogen	cyclosporiasis	10.3390/microorganisms7090317
protozoan	Cystoisospora belli	human_pathogen	cystoisosporiasis	10.1017/S0031182019000957
protozoan	Leishmania infantum	human_pathogen	visceral leishmaniasis	10.1007/s40475-021-00232-7
helminth	Clonorchis sinensis	oncogenic_pathogen	liver fluke and cholangiocarcinoma-associated helminth	10.5483/BMBRep.2016.49.11.109
helminth	Opisthorchis viverrini	oncogenic_pathogen	liver fluke and cholangiocarcinoma-associated helminth	10.5483/BMBRep.2016.49.11.109
helminth	Schistosoma haematobium	oncogenic_pathogen	urogenital schistosomiasis and bladder cancer-associated helminth	10.5483/BMBRep.2016.49.11.109
helminth	Strongyloides stercoralis	human_pathogen	strongyloidiasis	10.3390/tropicalmed7100310
helminth	Taenia solium	human_pathogen	taeniasis and neurocysticercosis	10.1128/CMR.00085-19
strain_or_type	Human papillomavirus 31	clinically_significant_strain	oncogenic viral type	10.1093/jncics/pky045
strain_or_type	Human papillomavirus 45	clinically_significant_strain	oncogenic viral type	10.1093/jncics/pky045
strain_or_type	Human papillomavirus 52	clinically_significant_strain	oncogenic viral type	10.1093/jncics/pky045
strain_or_type	Human papillomavirus 58	clinically_significant_strain	oncogenic viral type	10.1093/jncics/pky045
bacterium	Escherichia coli O25b:H4-ST131	UTI	requested as Escherichia coli ST131; NCBI/Kraken-compatible name for the globally disseminated MDR uropathogenic ST131 lineage	10.1371/journal.pone.0026578
bacterium	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	UTI	requested as Klebsiella pneumoniae subsp. pneumoniae KPC; NCBI/Kraken-compatible KPC-associated clinical outbreak strain	10.1128/JB.00352-17
bacterium	Staphylococcus saprophyticus	UTI	common cause of uncomplicated UTI	10.1073/pnas.0502950102
bacterium	Enterobacter cloacae complex	UTI	requested label retained; exact NCBI current name for a species-group taxon often reported in clinical microbiology	10.1128/spectrum.04312-23
bacterium	Providencia stuartii	UTI	catheter-associated and complicated UTI pathogen	10.1038/s41579-024-01054-w
bacterium	Morganella morganii	UTI	complicated UTI and opportunistic invasive infections	10.1038/s41579-024-01054-w
fungus	Candida albicans SC5314	UTI	requested strain retained; NCBI/Kraken-compatible reference strain name	10.1073/pnas.0401648101
bacterium	Pseudomonas aeruginosa 19BR	UTI	requested as Pseudomonas aeruginosa MDR; NCBI/Kraken-compatible strain name for a multidrug- and polymyxin-resistant clinical isolate	10.1128/AAC.01267-08
